,useless,pr_min_color,pr_min,pr_avg,rc_min_color,rc_min,rc_avg,colorspace,degree,regularization
43,0.030982905982905984,Silver,0.7094972067039106,0.883724752593145,White,0.5714285714285714,0.8262919795218777,HSRBL,4,0.1
521,0.028846153846153848,Grey,0.71875,0.8837219683832888,Grey,0.6052631578947368,0.8322668362022285,SBbYCr,4,0.1
213,0.027777777777777776,Silver,0.7352941176470589,0.8836979544220511,White,0.5238095238095238,0.8181104984391872,HRGLCr,4,0.1
523,0.03205128205128205,Grey,0.7419354838709677,0.883663390971864,Grey,0.6052631578947368,0.8401129189010365,SBbCrCb,4,0.1
430,0.029914529914529916,Grey,0.71875,0.8836506348763393,White,0.5714285714285714,0.8313390122599144,SRGbCr,4,0.1
301,0.028846153846153848,Silver,0.7045454545454546,0.8836225259368201,White,0.5714285714285714,0.8168040487359357,HBLbCb,4,0.1
467,0.029914529914529916,Grey,0.71875,0.8835355535700629,White,0.5476190476190477,0.8289230673078214,SRbYCb,4,0.1
87,0.030982905982905984,Grey,0.6666666666666666,0.883510259543928,White,0.5714285714285714,0.82950791781985,HSBLY,4,0.1
307,0.029914529914529916,Silver,0.7298850574712644,0.883489306156949,White,0.5714285714285714,0.8219774906286312,HBabCb,4,0.1
713,0.027777777777777776,Silver,0.7365269461077845,0.8834765589997949,Grey,0.5526315789473685,0.8235847234366818,RBabCb,4,0.1
372,0.028846153846153848,Grey,0.696969696969697,0.8834635230610464,White,0.5952380952380952,0.8300619289777976,SVGaCb,4,0.1
132,0.028846153846153848,Grey,0.7058823529411765,0.8834162622911825,White,0.6190476190476191,0.8308222331664109,HVRBCb,4,0.1
718,0.026709401709401708,Gold,0.7348066298342542,0.8833684964604168,Grey,0.5789473684210527,0.8233990973298846,RBbYCb,4,0.1
760,0.026709401709401708,Silver,0.7251461988304093,0.8833572197398861,Grey,0.5789473684210527,0.8222858956325856,GLaYCb,4,0.1
526,0.029914529914529916,Grey,0.696969696969697,0.8833150112385334,Grey,0.6052631578947368,0.8317153863125083,SLabCr,4,0.1
499,0.030982905982905984,Grey,0.71875,0.8833119194334376,White,0.5714285714285714,0.8331323578032599,SGaYCb,4,0.1
443,0.030982905982905984,Grey,0.71875,0.8832376782769227,Grey,0.6052631578947368,0.8361912247775917,SRBaCb,4,0.1
88,0.03311965811965812,Grey,0.7272727272727273,0.8832280416731719,White,0.6190476190476191,0.8370085455567207,HSBLCr,4,0.1
446,0.029914529914529916,Grey,0.71875,0.8832210949171355,Grey,0.6052631578947368,0.8338619234049369,SRBbCb,4,0.1
417,0.028846153846153848,Grey,0.6,0.8831941858066679,White,0.5714285714285714,0.8302356784027587,SRGBY,4,0.1
773,0.027777777777777776,Silver,0.7337278106508875,0.8831881114927894,Grey,0.5526315789473685,0.825510123345895,BLabCb,4,0.1
146,0.027777777777777776,Grey,0.75,0.8831666013424981,White,0.6190476190476191,0.8305574090389322,HVRYCb,4,0.1
47,0.030982905982905984,Grey,0.75,0.883142563184532,White,0.5952380952380952,0.8365503722246624,HSRBCr,4,0.1
692,0.027777777777777776,Silver,0.7218934911242604,0.8831398831486984,Grey,0.5526315789473685,0.8189439161804373,RGabCr,4,0.1
732,0.027777777777777776,Silver,0.7261904761904762,0.8830933889016274,Grey,0.5263157894736842,0.8197083244678243,RabYCb,4,0.1
466,0.029914529914529916,Grey,0.71875,0.8829689548165576,White,0.5476190476190477,0.8301377046069939,SRbYCr,4,0.1
