,useless,pr_min_color,pr_min,pr_avg,rc_min_color,rc_min,rc_avg,colorspace,degree,regularization
82,0.03311965811965812,Grey,0.6521739130434783,0.8638708437269784,Grey,0.39473684210526316,0.8121794713723616,BGHR,4,2
239,0.03311965811965812,Grey,0.6153846153846154,0.8638639738099061,Grey,0.42105263157894735,0.8207305466690665,CbHRb,4,2
293,0.027777777777777776,Grey,0.6285714285714286,0.8635354373409084,Grey,0.5789473684210527,0.8010487179948069,CrGLS,4,2
227,0.038461538461538464,Grey,0.6428571428571429,0.8634982960525484,Grey,0.47368421052631576,0.8201889073230973,CbGYb,4,2
146,0.03418803418803419,Grey,0.4782608695652174,0.8633953507139508,Grey,0.5789473684210527,0.8251785683371344,BRSY,4,2
236,0.03205128205128205,Grey,0.6206896551724138,0.8632678562596413,Grey,0.47368421052631576,0.8262969279599629,CbHRV,4,2
232,0.03205128205128205,Grey,0.64,0.8631665051954802,Grey,0.42105263157894735,0.811907822562807,CbHLY,4,2
453,0.03739316239316239,Grey,0.71875,0.862564613187446,Grey,0.6052631578947368,0.8270794644113865,HSYa,4,2
370,0.038461538461538464,Grey,0.6111111111111112,0.8625370059538374,Grey,0.5789473684210527,0.8312385384047012,GHLS,4,2
425,0.03739316239316239,Grey,0.6052631578947368,0.8622762381359769,Grey,0.6052631578947368,0.8324339549526655,HLRS,4,2
10,0.03952991452991453,Grey,0.6666666666666666,0.8621914698528296,Grey,0.5263157894736842,0.8179921279054139,BCbGL,4,2
442,0.03632478632478633,Grey,0.6388888888888888,0.8621175249825251,Grey,0.6052631578947368,0.8291221630101757,HRSa,4,2
341,0.03739316239316239,Grey,0.6666666666666666,0.8618962057506766,Grey,0.5789473684210527,0.8260184676713387,CrLSa,4,2
122,0.03632478632478633,Grey,0.68,0.8615662787768155,Grey,0.4473684210526316,0.8160453714033422,BHSa,4,2
321,0.028846153846153848,Silver,0.6703910614525139,0.861430951859551,Grey,0.39473684210526316,0.7962386108531606,CrHRY,4,2
16,0.03418803418803419,Grey,0.64,0.8614215330358779,Grey,0.42105263157894735,0.8133278063463018,BCbGb,4,2
443,0.038461538461538464,Grey,0.6111111111111112,0.8613262983574277,Grey,0.5789473684210527,0.8335770914273473,HRSb,4,2
299,0.03739316239316239,Silver,0.7028571428571428,0.8612427400228282,Grey,0.5526315789473685,0.821281584744002,CrGRV,4,2
286,0.035256410256410256,Grey,0.6896551724137931,0.8610882266824956,Grey,0.5263157894736842,0.8238143412516826,CrGHR,4,2
123,0.035256410256410256,Grey,0.6296296296296297,0.8608687377707992,Grey,0.4473684210526316,0.8174941111294788,BHSb,4,2
431,0.03632478632478633,Grey,0.6111111111111112,0.8605826326581943,Grey,0.5789473684210527,0.8301476433051296,HLSY,4,2
110,0.038461538461538464,Grey,0.6470588235294118,0.8600721130100802,Grey,0.5789473684210527,0.8303198129252713,BHLS,4,2
259,0.038461538461538464,Grey,0.59375,0.8600451831067358,Grey,0.5,0.8115188507962638,CbLVY,4,2
100,0.035256410256410256,Grey,0.4782608695652174,0.8599088792707794,Grey,0.5789473684210527,0.8235120630041161,BGSY,4,2
